sp_us,minion_w,sram_w,noc_w,board_w
53562344031,11.394,2.651,4.682,38.43
53562477231,11.398,2.662,4.699,38.21
53562612005,11.406,2.641,4.664,38.32
53562745631,11.415,2.655,4.677,38.42
53562879231,11.422,2.667,4.690,38.51
53563014033,11.419,2.675,4.702,38.34
53563147631,11.422,2.666,4.676,38.39
53563281231,11.437,2.664,4.687,38.48
53563415907,11.439,2.673,4.698,38.56
53563549231,11.441,2.684,4.710,38.63
53563682831,11.438,2.690,4.723,38.42
53563817422,11.432,2.671,4.690,38.51
53563950831,11.437,2.678,4.698,38.59
53564084431,11.445,2.686,4.709,38.66
53564219231,11.447,2.692,4.725,38.41
53564352831,11.443,2.670,4.686,38.50
53564486431,11.448,2.677,4.696,38.58
53564621232,11.457,2.684,4.713,38.65
53564754831,11.471,2.694,4.727,38.70
53564888431,11.474,2.700,4.732,38.51
53565023232,11.463,2.681,4.709,38.59
53565156831,11.470,2.688,4.722,38.66
53565290431,11.472,2.696,4.728,38.73
53565424924,11.470,2.704,4.738,38.47
53565558431,11.470,2.679,4.706,38.56
53565692031,11.472,2.689,4.724,38.64
53565826626,11.469,2.695,4.736,38.71
53565960031,11.477,2.702,4.747,38.69
53566093631,11.483,2.702,4.739,38.54
53566228184,11.477,2.683,4.724,38.62
53566361631,11.477,2.691,4.737,38.69
53566495231,11.481,2.698,4.747,38.76
53566629823,11.479,2.705,4.757,38.53
53566763231,11.485,2.683,4.724,38.61
53566896431,11.495,2.694,4.736,38.69
53567031232,11.499,2.701,4.748,38.75
53567164831,11.500,2.707,4.755,38.64
53567298431,11.500,2.702,4.737,37.88
53567433232,11.478,2.622,4.617,37.20
53567566431,11.462,2.556,4.515,36.59
53567700031,11.438,2.498,4.424,36.07
53567834616,11.415,2.445,4.341,35.60
53567968031,11.398,2.403,4.270,35.20
53568101631,11.379,2.362,4.208,34.83
53568236358,11.372,2.327,4.154,34.52
53568369631,11.353,2.293,4.100,34.24
53568502831,11.333,2.268,4.060,34.01
53568637632,11.329,2.245,4.025,33.79
53568771231,11.317,2.223,3.991,33.60
53568904431,11.312,2.206,3.961,33.44
53569038924,11.296,2.189,3.935,33.29
53569172431,11.289,2.175,3.912,33.16
53569306031,11.279,2.164,3.891,33.05
53569440502,11.283,2.154,3.875,32.95
53569573631,11.277,2.145,3.863,32.86
53569706831,11.274,2.136,3.847,32.79
